"sample_id"	"tissue"	"type"	"treatment"	"time"	"Family"	"RA"
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Acetobacteraceae"	1.23986151036999
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Bradyrhizobiaceae"	1.81033168340765
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Caulobacteraceae"	1.23688643775962
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Chitinophagaceae"	2.60951056336719
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Comamonadaceae"	5.18257648725739
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Cytophagaceae"	7.14909948270925
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Gordoniaceae"	6.51020263963317
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Hyphomicrobiaceae"	4.0736181717435
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Moraxellaceae"	3.61396945344197
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Mycobacteriaceae"	4.05093324308946
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Nitrosomonadaceae"	2.26514590871733
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Nitrospiraceae"	8.88393869862886
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Opitutaceae"	7.30380325844828
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Oxalobacteraceae"	2.8698294167742
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Rhodocyclaceae"	1.2558525256507
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Rhodospirillaceae"	1.62104268857312
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"Xanthomonadaceae"	1.99255488079256
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"low abundance (< 1% RA)"	16.5194625531329
"T0_W_D_E_2"	"wastewater"	"wastewater"	"none"	"0"	"unclassified"	19.8113803965028
"T0_W_A_C_2"	"wastewater"	"wastewater"	"none"	"0"	"Acetobacteraceae"	1.26493051289181
"T0_W_A_C_2"	"wastewater"	"wastewater"	"none"	"0"	"Bradyrhizobiaceae"	2.1437856085053
