"feature_id"	"median_clr"	"Phylum"	"Family"	"Genus"	"Species"	"asv_type"	"asv_prevalence"
"001ce64eb1f97b6e02064f06d08298b4"	-0.791478596697171	"Actinobacteria"	"Mycobacteriaceae"	"Mycobacterium"	""	"WWDAB"	"one_sample"
"0034225586d9b42e3ee256c55b4f3344"	-0.709717565018218	"Proteobacteria"	"Xanthomonadaceae"	"Rhodanobacter"	""	"WWDAB"	"less_25_percent"
"00622d412e495f97bbd55748bee55bfb"	-0.791478596697171	"Proteobacteria"	"Oxalobacteraceae"	"Ralstonia"	""	"WWDAB"	"one_sample"
"00fcd9059efd9bae321af0f860ca7b14"	-0.791478596697171	"Proteobacteria"	"Moraxellaceae"	"Acinetobacter"	"johnsonii"	"WWDAB"	"one_sample"
"011987d179b04dbff1bf84f1de449e00"	-0.54420143955371	"Actinobacteria"	"Micrococcaceae"	"Arthrobacter"	"psychrolactophilus"	"WWDAB"	"less_25_percent"
"0137adb5a5546c26855559008b17b4e9"	-0.590161956205664	"Proteobacteria"	"Xanthomonadaceae"	"Rhodanobacter"	NA	"WWDAB"	"less_25_percent"
"0189eac36e3d7104b14210725dcfdcb4"	-0.791478596697171	"Actinobacteria"	"Dermabacteraceae"	""	""	"WWDAB"	"one_sample"
"0195f0c0cf2e11bdff088f5a1e6607d1"	-0.791478596697171	"Proteobacteria"	"Xanthomonadaceae"	"Rhodanobacter"	NA	"WWDAB"	"one_sample"
"01ced9284acaa18658b24a64ee2bf388"	-0.709717565018218	"Firmicutes"	"Ruminococcaceae"	NA	NA	"WWDAB"	"one_sample"
"01f13697d11b583a36d842ac0b9c37a6"	-0.709717565018218	"Bacteroidetes"	"Sphingobacteriaceae"	"Pedobacter"	""	"WWDAB"	"one_sample"
"01f24451f09743079f524f345d1ca6d8"	11.4294004525535	"Proteobacteria"	"Moraxellaceae"	""	""	"WWDAB-WW_t0"	"less_50_percent"
"02ff7ef783c1bf9461577ad36d2d0097"	-0.791478596697171	"Proteobacteria"	"Comamonadaceae"	NA	NA	"WWDAB"	"one_sample"
"030779dacd1711d5ecf7be3b1e884a21"	-0.709717565018218	"Proteobacteria"	"Comamonadaceae"	NA	NA	"WWDAB"	"less_25_percent"
"0328cfeb9aeda5fb3d2aa590ddb18bfc"	-0.590161956205664	"Proteobacteria"	"Alcaligenaceae"	""	""	"WWDAB"	"less_50_percent"
"034b68e5af8fe355fe7014afe01d9912"	-0.791478596697171	"Proteobacteria"	"Oxalobacteraceae"	"Janthinobacterium"	""	"WWDAB"	"one_sample"
