"feature_id"	"Phylum"	"Family"	"Genus"	"tissue"	"t0"	"t2"	"t7"
"011c4613181ff63bb26d6042b653e3e9"	"Proteobacteria"	"[Chromatiaceae]"	"Rheinheimera"	"L_minor370_DWC112"	-0.304805471224029	22.3745935027748	20.1066024912312
"011c4613181ff63bb26d6042b653e3e9"	"Proteobacteria"	"[Chromatiaceae]"	"Rheinheimera"	"S_polyrhiza432_9509"	13.9940645320505	21.2995946476791	18.4168895740398
"01f8d539f643b442231cfa3b378db683"	"Proteobacteria"	"Rhodobacteraceae"	"Rhodobacter"	"L_minor370_DWC112"	-0.304805471224029	16.4745318145555	19.1791063116675
"01f8d539f643b442231cfa3b378db683"	"Proteobacteria"	"Rhodobacteraceae"	"Rhodobacter"	"S_polyrhiza432_9509"	13.143907092183	17.6597832830146	18.6791253410124
"024a7aa9085b4192dba3adb375ba0c5a"	"Proteobacteria"	"Alcaligenaceae"	""	"L_minor370_DWC112"	-0.304805471224029	15.1023473218742	14.9820826169376
"024a7aa9085b4192dba3adb375ba0c5a"	"Proteobacteria"	"Alcaligenaceae"	""	"S_polyrhiza432_9509"	6.00003286594068	-1.18252101777319	11.6036190409169
"0b1b904af17261f352aba04d513064ac"	"Proteobacteria"	"Oxalobacteraceae"	""	"L_minor370_DWC112"	-0.304805471224029	19.9502007435367	18.2140390400748
"0b1b904af17261f352aba04d513064ac"	"Proteobacteria"	"Oxalobacteraceae"	""	"S_polyrhiza432_9509"	7.40360728713685	20.5751923710271	17.0858388453372
"0c04c9e2a18d24acc3dea7409a4b3970"	"Proteobacteria"	"Moraxellaceae"	"Perlucidibaca"	"L_minor370_DWC112"	-0.304805471224029	-1.39446682980726	-2.41240899735665
"0c04c9e2a18d24acc3dea7409a4b3970"	"Proteobacteria"	"Moraxellaceae"	"Perlucidibaca"	"S_polyrhiza432_9509"	7.67281189506467	-1.18252101777319	-2.44528308037606
"0e18abb0c79b03e44270d0a46d03c0ac"	"Proteobacteria"	"Sphingomonadaceae"	"Sphingopyxis"	"L_minor370_DWC112"	-0.304805471224029	-1.39446682980726	17.1944184561112
"0e18abb0c79b03e44270d0a46d03c0ac"	"Proteobacteria"	"Sphingomonadaceae"	"Sphingopyxis"	"S_polyrhiza432_9509"	6.86843151492901	-1.18252101777319	12.0525414774287
"10c95fc96b8f9da51df07eb7be17f405"	"Proteobacteria"	"Alcaligenaceae"	"Achromobacter"	"L_minor370_DWC112"	-0.304805471224029	-1.17947361850374	-2.41240899735665
"10c95fc96b8f9da51df07eb7be17f405"	"Proteobacteria"	"Alcaligenaceae"	"Achromobacter"	"S_polyrhiza432_9509"	7.75117342960991	-1.52139665927033	-2.44528308037606
"1155a48108c295d2f1f34aacc9bd96f1"	"Firmicutes"	"Bacillaceae"	"Bacillus"	"L_minor370_DWC112"	7.17810921286482	5.50080999478285	4.30026452835976
"1155a48108c295d2f1f34aacc9bd96f1"	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	6.70747648382217	-1.52139665927033	-2.44528308037606
"195466d7195a527a63753ff5d62220b1"	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"L_minor370_DWC112"	15.7083698295958	6.23243389501466	-2.41240899735665
"195466d7195a527a63753ff5d62220b1"	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	17.5417956913231	-1.52139665927033	-2.44528308037606
"1ac6a8e0a789b795464e1ddb32bc80f9"	"Firmicutes"	"Carnobacteriaceae"	"Granulicatella"	"L_minor370_DWC112"	13.8442339103911	-1.17947361850374	-2.41240899735665
"1ac6a8e0a789b795464e1ddb32bc80f9"	"Firmicutes"	"Carnobacteriaceae"	"Granulicatella"	"S_polyrhiza432_9509"	-0.27546074132008	-1.52139665927033	-2.44528308037606
"1b178df366ea881038b47b56127b612f"	"Proteobacteria"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"L_minor370_DWC112"	-0.304805471224029	-1.16219599433656	-2.41240899735665
"1b178df366ea881038b47b56127b612f"	"Proteobacteria"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"S_polyrhiza432_9509"	7.18455282510395	-1.52139665927033	-2.44528308037606
"1c1c1a1b64ebcf895542e4c0b81fc960"	"Proteobacteria"	"Rhodobacteraceae"	"Rhodobacter"	"L_minor370_DWC112"	-0.304805471224029	-1.39446682980726	16.1758591325423
"1c1c1a1b64ebcf895542e4c0b81fc960"	"Proteobacteria"	"Rhodobacteraceae"	"Rhodobacter"	"S_polyrhiza432_9509"	6.49997276116037	-1.52139665927033	-2.44528308037606
"1f4555dd646d719a398fcea03a0af8a4"	"Proteobacteria"	"Enterobacteriaceae"	"Erwinia"	"L_minor370_DWC112"	-0.304805471224029	13.3521914467223	-2.41240899735665
"1f4555dd646d719a398fcea03a0af8a4"	"Proteobacteria"	"Enterobacteriaceae"	"Erwinia"	"S_polyrhiza432_9509"	16.9223511097437	12.722266604361	-2.2150754800708
"229c1a1090ff4c383c0e16bd59cc16ee"	"Proteobacteria"	"Oxalobacteraceae"	"Janthinobacterium"	"L_minor370_DWC112"	-0.304805471224029	18.8595080025605	16.4487003681249
"229c1a1090ff4c383c0e16bd59cc16ee"	"Proteobacteria"	"Oxalobacteraceae"	"Janthinobacterium"	"S_polyrhiza432_9509"	6.43721278439633	20.1393688067796	14.3727801159157
"257c00542b444daf8a32e143bd5efc81"	"Firmicutes"	"Bacillaceae"	"Bacillus"	"L_minor370_DWC112"	8.01430641409261	-1.16219599433656	-2.41240899735665
"257c00542b444daf8a32e143bd5efc81"	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	-0.27546074132008	-1.52139665927033	-2.44528308037606
"2b4908061422f5cc3bd050f2f1198eff"	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"L_minor370_DWC112"	-0.304805471224029	-1.17947361850374	-2.41240899735665
"2b4908061422f5cc3bd050f2f1198eff"	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	7.54365821592707	-1.52139665927033	-2.44528308037606
"2d1e09e864537f979cf09cdebe85d925"	"Proteobacteria"	"Neisseriaceae"	NA	"L_minor370_DWC112"	-0.304805471224029	-1.39446682980726	6.21779811397577
"2d1e09e864537f979cf09cdebe85d925"	"Proteobacteria"	"Neisseriaceae"	NA	"S_polyrhiza432_9509"	6.49997276116037	-1.52139665927033	-2.44528308037606
"2f2b4d03f3d05fb90e99583ef0a20bd0"	"Bacteroidetes"	""	""	"L_minor370_DWC112"	-0.304805471224029	11.9739438657705	16.0715513548203
"2f2b4d03f3d05fb90e99583ef0a20bd0"	"Bacteroidetes"	""	""	"S_polyrhiza432_9509"	6.86843151492901	15.4996809081833	14.6914687311564
"30764ed6210dddb576255a27ff10b4e4"	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"L_minor370_DWC112"	-0.304805471224029	20.0574248765454	19.1344766235798
"30764ed6210dddb576255a27ff10b4e4"	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"S_polyrhiza432_9509"	6.75120525259526	16.8004302438348	14.6229831002354
"31a946980d008800fbb1c28da29148e7"	"Proteobacteria"	"Oxalobacteraceae"	""	"L_minor370_DWC112"	7.00004361931813	-1.39446682980726	4.99949851616175
"31a946980d008800fbb1c28da29148e7"	"Proteobacteria"	"Oxalobacteraceae"	""	"S_polyrhiza432_9509"	-0.27546074132008	-1.52139665927033	-2.2150754800708
"34c7ee90a3b3cdb66564ac73dc207bbb"	"Bacteroidetes"	"Cytophagaceae"	"Emticicia"	"L_minor370_DWC112"	5.47080833057512	6.19816661515631	16.7808164183676
"34c7ee90a3b3cdb66564ac73dc207bbb"	"Bacteroidetes"	"Cytophagaceae"	"Emticicia"	"S_polyrhiza432_9509"	-0.27546074132008	-1.04800320329078	13.371133980038
"3a0cea731c7a0e90a1ef73cb3c5aa8f6"	"Proteobacteria"	"Neisseriaceae"	NA	"L_minor370_DWC112"	-0.304805471224029	13.7388954886941	8.01371287388664
"3a0cea731c7a0e90a1ef73cb3c5aa8f6"	"Proteobacteria"	"Neisseriaceae"	NA	"S_polyrhiza432_9509"	6.79243397548122	14.633527710859	16.5899648031094
